,receps,object,scores
0,ArmChair,AlarmClock,1
1,BathtubBasin,AlarmClock,1
2,Bed,AlarmClock,1
3,Cabinet,AlarmClock,1
4,Cart,AlarmClock,1
5,CoffeeMachine,AlarmClock,1
6,CoffeeTable,AlarmClock,1
7,CounterTop,AlarmClock,1
8,Desk,AlarmClock,1
9,DiningTable,AlarmClock,1
10,Drawer,AlarmClock,1
11,Dresser,AlarmClock,1
12,Fridge,AlarmClock,1
13,GarbageCan,AlarmClock,1
14,Microwave,AlarmClock,1
15,Ottoman,AlarmClock,1
16,Safe,AlarmClock,1
17,Shelf,AlarmClock,1
18,SideTable,AlarmClock,1
19,SinkBasin,AlarmClock,1
20,Sofa,AlarmClock,1
21,StoveBurner,AlarmClock,1
22,TVStand,AlarmClock,1
23,Toilet,AlarmClock,1
24,AlarmClock,AlarmClock,1
25,Apple,AlarmClock,1
26,AppleSliced,AlarmClock,1
27,BaseballBat,AlarmClock,1
28,BasketBall,AlarmClock,1
29,Book,AlarmClock,1
30,Bowl,AlarmClock,1
31,Box,AlarmClock,1
32,Bread,AlarmClock,1
33,BreadSliced,AlarmClock,1
34,ButterKnife,AlarmClock,1
35,CD,AlarmClock,1
36,Candle,AlarmClock,1
37,CellPhone,AlarmClock,1
38,Cloth,AlarmClock,1
39,CreditCard,AlarmClock,1
40,Cup,AlarmClock,1
41,DeskLamp,AlarmClock,1
42,DishSponge,AlarmClock,1
43,Egg,AlarmClock,1
44,Faucet,AlarmClock,1
45,FloorLamp,AlarmClock,1
46,Fork,AlarmClock,1
47,Glassbottle,AlarmClock,1
48,HandTowel,AlarmClock,1
49,HousePlant,AlarmClock,1
50,Kettle,AlarmClock,1
51,KeyChain,AlarmClock,1
52,Knife,AlarmClock,1
53,Ladle,AlarmClock,1
54,Laptop,AlarmClock,1
55,LaundryHamperLid,AlarmClock,1
56,Lettuce,AlarmClock,1
57,LettuceSliced,AlarmClock,1
58,LightSwitch,AlarmClock,1
59,Mug,AlarmClock,1
60,Newspaper,AlarmClock,1
61,Pan,AlarmClock,1
62,PaperTowel,AlarmClock,1
63,PaperTowelRoll,AlarmClock,1
64,Pen,AlarmClock,1
65,Pencil,AlarmClock,1
66,PepperShaker,AlarmClock,1
67,Pillow,AlarmClock,1
68,Plate,AlarmClock,1
69,Plunger,AlarmClock,1
70,Pot,AlarmClock,1
